date,reason,amount,running_total,Running Total
02-09-24,1st Sept Cash - collection,51.5,,51.5
02-09-24,1st Sept Regular Giving 1,20.0,,71.5
02-09-24,1st Sept Regular Giving 2,50.0,,121.5
02-09-24,1st Sept Regular Giving 3,25.0,,146.5
08-09-24,8th Sept Collection,50.0,,196.5
09-09-24,8th Sept Regular giving 1,20.0,,216.5
13-09-24,13th Sept Regular Giving 4,25.0,,241.5
15-09-24,15th Sept Collection,103.0,,344.5
16-09-24,16th Sept Regular Giving 5 ,50.0,,394.5
15-09-24,15th Sept Regular Giving 1,20.0,,414.5
20-09-24,20th Sept Regular Giving 6,30.0,,444.5
22-09-24,22nd Sept Collection,87.0,,531.5
23-09-24,22nd Sept Regular Giving 1,20.0,,551.5
26-09-24,26th Sept cheque offering,78.0,,629.5
29-09-24,29th Sept Collection,62.5,,692.0
29-09-24,29th Sept Regular Giving 1,20.0,,712.0
29-09-24,29th Sept Regular Giving 7,30.0,,742.0
01-10-24,1st Oct Regular Giving 2,50.0,,792.0
01-10-24,1st Oct Regular Giving 3,25.0,,817.0
02-10-24,Cheque offering ,200.0,,1017.0
07-10-24,7th Oct Regular Giving 1,20.0,,1037.0
08-10-24,6th Oct cash collection ,38.0,,1075.0
14-10-24,14th Oct Regular Giving 4,25.0,,1100.0
14-10-24,14th Oct Regular Giving 1,20.0,,1120.0
15-10-24,15th Oct Regular Giving 5,50.0,,1170.0
14-10-24,13th Oct cash collection,64.3,,1234.3
20-10-24,20th Oct Regular Giving 1,20.0,,1254.3
20-10-24,20th Oct Regular Giving 6,30.0,,1284.3
23-10-24,20th Oct Cash collection,81.0,,1365.3
28-10-24,27th Oct Regular Giving 1,20.0,,1385.3
29-10-24,27th Oct cash collection,67.0,,1452.3
30-10-24,Regular Giver 7,30.0,,1482.3
01-11-24,1st Nov Regular Giving 2,50.0,,1532.3
01-11-24,1st Nov Regular Giving 3,25.0,,1557.3
01-11-24,1st Nov Regular Giving 1,20.0,,1577.3
11-11-24,11th Nov Regular Giving 1,20.0,,1597.3
11-11-24,3rd Nov cash collection,50.0,,1647.3
13-11-24,13th Nov Regular Giving 4,25.0,,1672.3
15-11-24,Regular Giving 5,50.0,,1722.3
15-11-24,15th Nov Regular Giving 1,20.0,,1742.3
19-11-24,17th Nov cash collection,48.0,,1790.3
20-11-24,20th Nov Regular Giving 6,30.0,,1820.3
26-11-24,26th Nov Regular Giving 1,20.0,,1840.3
24-11-24,24th Nov cash collection,35.0,,1875.3
02-12-24,2nd Dec Regular Giving 1,100.0,,1975.3
02-12-24,Regular Giving 7,30.0,,2005.3
02-12-24,Regular Giving 2,50.0,,2055.3
02-12-24,Regular Giving 3,25.0,,2080.3
05-12-24,Funeral donation S Meers Redfern,68.0,,2148.3
09-12-24,7th Dec cash collection,206.0,,2354.3
10-12-24, Xmas lunch donations,255.0,,2609.3
13-12-24,Regular Giving 4,25.0,,2634.3
16-12-24,Regular Giving 5,50.0,,2684.3
17-12-24,15 Dec cash collection,67.0,,2751.3
20-12-24,Regular Giving 6 ,30.0,,2781.3
30-12-24,Regular Giving 7,30.0,,2811.3
30-12-24,"Cash collections 22, 24, 29 Dec",197.0,,3008.3
02-01-25,Regular Giving 2,50.0,,3058.3
02-01-25,Regular Giving 3,25.0,,3083.3
02-01-25,Regular Giving 1,100.0,,3183.3
06-01-25,5 Jan Cash Collections ,32.0,,3215.3
13-01-25,Regular Giving 4,25.0,,3240.3
14-01-25,12 Jan Cash Collection ,48.5,,3288.8
15-01-25,Regular Giving 5,50.0,,3338.8
20-01-25,Regular Giving 6 ,30.0,,3368.8
19-01-25,19 Jan Cash Collection,77.0,,3445.8
22-01-25,Cheque offering ,78.0,,3523.8
29-01-25,Regular Giving,30.0,,3553.8
