date,cottage,rent,fees,recieved rent
10-09-2024,2 Carr Hill Lane,570,68.4,501.6
10-10-2024,2 Carr Hill Lane,570,68.4,501.6
10-11-2024,2 Carr Hill Lane,570,68.4,501.6
10-12-2024,2 Carr Hill Lane,570,68.4,501.6
10-01-2025,2 Carr Hill Lane,570,68.4,501.6
10-02-2025,2 Carr Hill Lane,570,68.4,501.6
10-03-2025,2 Carr Hill Lane,570,68.4,501.6
10-09-2024,4 Carr Hill Lane,550,66.0,484.0
10-10-2024,4 Carr Hill Lane,550,66.0,484.0
10-11-2024,4 Carr Hill Lane,550,66.0,484.0
10-12-2024,4 Carr Hill Lane,550,66.0,484.0
10-01-2025,4 Carr Hill Lane,550,66.0,484.0
10-02-2025,4 Carr Hill Lane,550,66.0,484.0
10-03-2025,4 Carr Hill Lane,550,66.0,484.0
